#q*Aangstroem	C14_ESRF_ID01 (4200 mm)*cm*sr	stddev*cm*sr
0.031117	38.879	0.012902
0.031172	38.869	0.013062
0.031226	38.832	0.013519
0.031280	38.812	0.013219
0.031335	38.801	0.013698
0.031389	38.794	0.013196
0.031444	38.801	0.013228
0.031498	38.782	0.013727
0.031553	38.759	0.013202
0.031607	38.758	0.013230
0.031662	38.760	0.013422
0.031716	38.758	0.013212
0.031770	38.731	0.013852
0.031825	38.748	0.013329
0.031879	38.737	0.013262
0.031934	38.729	0.013122
0.031988	38.704	0.013063
0.032043	38.676	0.013257
0.032097	38.654	0.013029
0.032152	38.662	0.013051
0.032206	38.653	0.013616
0.032260	38.628	0.013942
0.032315	38.628	0.013410
0.032369	38.599	0.013365
0.032424	38.569	0.013412
0.032478	38.564	0.013850
0.032533	38.567	0.013691
0.032587	38.565	0.013733
0.032642	38.546	0.013792
0.032696	38.519	0.013777
0.032750	38.509	0.013644
0.032805	38.510	0.013898
0.032859	38.519	0.013221
0.032914	38.518	0.013284
0.032968	38.495	0.013598
0.033023	38.482	0.013044
0.033077	38.470	0.013033
0.033132	38.454	0.013033
0.033186	38.443	0.013092
0.033241	38.442	0.013001
0.033295	38.451	0.013059
0.033349	38.437	0.013064
0.033404	38.422	0.013040
0.033458	38.411	0.013069
0.033513	38.400	0.013594
0.033567	38.380	0.012956
0.033622	38.378	0.012958
0.033676	38.378	0.012977
0.033731	38.368	0.012987
0.033785	38.358	0.013283
0.033839	38.338	0.012893
0.033894	38.318	0.012886
0.033948	38.310	0.012899
0.034003	38.312	0.012912
0.034057	38.303	0.012974
0.034112	38.279	0.013505
0.034166	38.270	0.012895
0.034220	38.281	0.012881
0.034275	38.278	0.012889
0.034329	38.266	0.012918
0.034384	38.256	0.013024
0.034438	38.251	0.013596
0.034493	38.224	0.012886
0.034547	38.200	0.012895
0.034602	38.196	0.012947
0.034656	38.198	0.012969
0.034711	38.173	0.013059
0.034765	38.167	0.013614
0.034819	38.172	0.013127
0.034874	38.172	0.013223
0.034928	38.163	0.013474
0.034983	38.153	0.012763
0.035037	38.153	0.012788
0.035092	38.136	0.012905
0.035146	38.108	0.012720
0.035201	38.074	0.012709
0.035255	38.056	0.012692
0.035309	38.073	0.012698
0.035364	38.084	0.012716
0.035418	38.063	0.012737
0.035473	38.034	0.012861
0.035527	38.032	0.012668
0.035582	38.026	0.012661
0.035636	38.011	0.012650
0.035691	38.011	0.012655
0.035745	38.011	0.012657
0.035799	38.003	0.012697
0.035854	37.988	0.012802
0.035908	37.974	0.013280
0.035963	37.973	0.012647
0.036017	37.957	0.012649
0.036072	37.954	0.012679
0.036126	37.962	0.012742
0.036181	37.945	0.013112
0.036235	37.923	0.012628
0.036289	37.916	0.012630
0.036344	37.911	0.012642
0.036398	37.912	0.012696
0.036453	37.919	0.013131
0.036507	37.919	0.012637
0.036562	37.906	0.012691
0.036616	37.875	0.013062
0.036670	37.855	0.012597
0.036725	37.867	0.012600
0.036779	37.874	0.012691
0.036834	37.881	0.013007
0.036888	37.873	0.012599
0.036943	37.850	0.012630
0.036997	37.825	0.012679
0.037052	37.814	0.012825
0.037106	37.811	0.012635
0.037161	37.817	0.012837
0.037215	37.828	0.012586
0.037269	37.807	0.012585
0.037324	37.778	0.012590
0.037378	37.756	0.012640
0.037433	37.729	0.012683
0.037487	37.730	0.012950
0.037542	37.752	0.013781
0.037596	37.793	0.013001
0.037651	37.804	0.012974
0.037705	37.798	0.013084
0.037759	37.784	0.013332
0.037814	37.773	0.013660
0.037868	37.782	0.013353
0.037923	37.765	0.013307
0.037977	37.747	0.013477
0.038032	37.725	0.013475
0.038086	37.728	0.013388
0.038141	37.732	0.013258
0.038195	37.728	0.013462
0.038249	37.722	0.013342
0.038304	37.737	0.013687
0.038358	37.720	0.013331
0.038413	37.678	0.013394
0.038467	37.666	0.013596
0.038522	37.669	0.014553
0.038576	37.678	0.013903
0.038631	37.680	0.013734
0.038685	37.666	0.013342
0.038739	37.660	0.013382
0.038794	37.667	0.013574
0.038848	37.672	0.014243
0.038903	37.654	0.013424
0.038957	37.641	0.013526
0.039012	37.627	0.013844
0.039066	37.609	0.013560
0.039120	37.599	0.013795
0.039175	37.599	0.014875
0.039229	37.597	0.013447
0.039284	37.590	0.013461
0.039338	37.588	0.013493
0.039393	37.589	0.013692
0.039447	37.585	0.013916
0.039502	37.567	0.013527
0.039556	37.557	0.013592
0.039611	37.571	0.013796
0.039665	37.575	0.014531
0.039719	37.566	0.014120
0.039774	37.570	0.013555
0.039828	37.569	0.013643
0.039883	37.570	0.013830
0.039937	37.566	0.014678
0.039992	37.552	0.013566
0.040046	37.523	0.013625
0.040100	37.499	0.013719
0.040155	37.500	0.013975
0.040209	37.514	0.013675
0.040264	37.517	0.013751
0.040318	37.511	0.013956
0.040373	37.491	0.014727
0.040427	37.474	0.014633
0.040482	37.471	0.013609
0.040536	37.473	0.013630
0.040591	37.444	0.013659
0.040645	37.430	0.013699
0.040699	37.427	0.014116
0.040754	37.435	0.014534
0.040808	37.444	0.013709
0.040863	37.442	0.013771
0.040917	37.435	0.013893
0.040972	37.417	0.014151
0.041026	37.401	0.015782
0.041080	37.417	0.015029
0.041135	37.406	0.013680
0.041189	37.391	0.013734
0.041244	37.389	0.013992
0.041298	37.397	0.015027
0.041353	37.390	0.013745
0.041407	37.388	0.013753
0.041462	37.366	0.013764
0.041516	37.340	0.013799
0.041570	37.316	0.013930
0.041625	37.308	0.014150
0.041679	37.316	0.014668
0.041734	37.311	0.014565
0.041788	37.304	0.013724
0.041843	37.290	0.013735
0.041897	37.282	0.013759
0.041952	37.288	0.013809
0.042006	37.294	0.013925
0.042060	37.287	0.015018
0.042115	37.288	0.015074
0.042169	37.282	0.013815
