#q*Aangstroem	C14_ESRF_ID01 (521 mm)*cm*sr	stddev*cm*sr
0.26530	4.1782	0.0020712
0.26574	4.1550	0.0020644
0.26617	4.1322	0.0020655
0.26661	4.1089	0.0020829
0.26705	4.0846	0.0020426
0.26748	4.0612	0.0020379
0.26792	4.0385	0.0020353
0.26836	4.0158	0.0020417
0.26879	3.9944	0.0020245
0.26923	3.9724	0.0020188
0.26967	3.9480	0.0020163
0.27010	3.9255	0.0020179
0.27054	3.9050	0.0020413
0.27098	3.8855	0.0020084
0.27141	3.8649	0.0020090
0.27185	3.8435	0.0020293
0.27229	3.8226	0.0020281
0.27272	3.8017	0.0020942
0.27316	3.7792	0.0019563
0.27360	3.7581	0.0019511
0.27403	3.7373	0.0019470
0.27447	3.7165	0.0019464
0.27491	3.6962	0.0019613
0.27534	3.6765	0.0019278
0.27578	3.6555	0.0019224
0.27622	3.6342	0.0019186
0.27665	3.6134	0.0019162
0.27709	3.5910	0.0020101
0.27753	3.5729	0.0020620
0.27796	3.5548	0.0019847
0.27840	3.5360	0.0019604
0.27884	3.5179	0.0019573
0.27927	3.4986	0.0019566
0.27971	3.4797	0.0019680
0.28015	3.4571	0.0020325
0.28058	3.4384	0.0020050
0.28102	3.4198	0.0019857
0.28146	3.4012	0.0019722
0.28189	3.3825	0.0019687
0.28233	3.3642	0.0019781
0.28277	3.3472	0.0020601
0.28320	3.3294	0.0019302
0.28364	3.3113	0.0019225
0.28408	3.2948	0.0019487
0.28451	3.2781	0.0019445
0.28495	3.2608	0.0019018
0.28539	3.2434	0.0019434
0.28582	3.2255	0.0018751
0.28626	3.2089	0.0018555
0.28669	3.1943	0.0018596
0.28713	3.1794	0.0018589
0.28757	3.1624	0.0018827
0.28800	3.1451	0.0018890
0.28844	3.1288	0.0019772
0.28888	3.1110	0.0018070
0.28931	3.0929	0.0017972
0.28975	3.0771	0.0017937
0.29019	3.0626	0.0017936
0.29062	3.0483	0.0017870
0.29106	3.0338	0.0018012
0.29150	3.0184	0.0018545
0.29193	3.0034	0.0017682
0.29237	2.9876	0.0017677
0.29280	2.9726	0.0017630
0.29324	2.9572	0.0017750
0.29368	2.9423	0.0018466
0.29411	2.9268	0.0018440
0.29455	2.9105	0.0017347
0.29499	2.8946	0.0017327
0.29542	2.8788	0.0017308
0.29586	2.8641	0.0017291
0.29630	2.8497	0.0017541
0.29673	2.8394	0.0017872
0.29717	2.8296	0.0018597
0.29760	2.8175	0.0017425
0.29804	2.8044	0.0018633
0.29848	2.7915	0.0017620
0.29891	2.7783	0.0017929
0.29935	2.7663	0.0018371
0.29979	2.7527	0.0017609
0.30022	2.7374	0.0017758
0.30066	2.7232	0.0019417
0.30109	2.7104	0.0017523
0.30153	2.6962	0.0018571
0.30197	2.6827	0.0017445
0.30240	2.6706	0.0017799
0.30284	2.6585	0.0017484
0.30328	2.6475	0.0018434
0.30371	2.6353	0.0017449
0.30415	2.6224	0.0017780
0.30458	2.6098	0.0017484
0.30502	2.5957	0.0017212
0.30546	2.5815	0.0017324
0.30589	2.5682	0.0017592
0.30633	2.5558	0.0017157
0.30677	2.5437	0.0017225
0.30720	2.5323	0.0017497
0.30764	2.5202	0.0017218
0.30807	2.5081	0.0017473
0.30851	2.4965	0.0017448
0.30895	2.4856	0.0016981
0.30938	2.4745	0.0017236
0.30982	2.4617	0.0017206
0.31025	2.4491	0.0016902
0.31069	2.4373	0.0016898
0.31113	2.4261	0.0016935
0.31156	2.4155	0.0017071
0.31200	2.4044	0.0017489
0.31243	2.3942	0.0017740
0.31287	2.3820	0.0016759
0.31331	2.3705	0.0016920
0.31374	2.3611	0.0017651
0.31418	2.3496	0.0016660
0.31461	2.3381	0.0016673
0.31505	2.3272	0.0016757
0.31549	2.3167	0.0017141
0.31592	2.3066	0.0018081
0.31636	2.2952	0.0016832
0.31679	2.2833	0.0017532
0.31723	2.2732	0.0016660
0.31767	2.2630	0.0016911
0.31810	2.2522	0.0016390
0.31854	2.2418	0.0016390
0.31897	2.2309	0.0016385
0.31941	2.2193	0.0016568
0.31985	2.2088	0.0017205
0.32028	2.2001	0.0016367
0.32072	2.1906	0.0016445
0.32115	2.1813	0.0016974
0.32159	2.1724	0.0016303
0.32203	2.1627	0.0017229
0.32246	2.1524	0.0017522
0.32290	2.1407	0.0016087
0.32333	2.1304	0.0016097
0.32377	2.1202	0.0016098
0.32420	2.1102	0.0016261
0.32464	2.1006	0.0017092
0.32508	2.0919	0.0016058
0.32551	2.0828	0.0016138
0.32595	2.0745	0.0016763
0.32638	2.0656	0.0016403
0.32682	2.0560	0.0015858
0.32725	2.0466	0.0015824
0.32769	2.0368	0.0015785
0.32813	2.0277	0.0015761
0.32856	2.0190	0.0015764
0.32900	2.0090	0.0015815
0.32943	2.0017	0.0015887
0.32987	1.9943	0.0016686
0.33031	1.9854	0.0015805
0.33074	1.9761	0.0015952
0.33118	1.9671	0.0016604
0.33161	1.9581	0.0015559
0.33205	1.9494	0.0015596
0.33248	1.9406	0.0015905
0.33292	1.9319	0.0016373
0.33335	1.9243	0.0015426
0.33379	1.9161	0.0015416
0.33423	1.9068	0.0015416
0.33466	1.8981	0.0015446
0.33510	1.8891	0.0015539
0.33553	1.8814	0.0015954
0.33597	1.8754	0.0016567
